,age,income,friends,attempt_suicide,Virgin,Depressed,Social_Fear,gender,sexuallity,bodyweight
217,28,5000.5,15.0,0,1,0,0,1,1,1
218,28,24999.5,20.0,0,0,0,0,2,1,3
219,19,5000.5,3.0,0,1,1,1,1,1,1
220,29,62499.5,5.0,1,0,1,1,2,1,1
221,29,34999.5,7.0,1,1,0,1,1,1,1
222,22,5000.5,1.0,0,1,1,1,1,1,1
223,24,5000.5,1.0,0,1,1,1,1,1,3
224,20,5000.5,10.0,0,1,1,1,1,1,1
225,23,62499.5,4.0,0,1,1,1,1,1,1
226,22,5000.5,0.0,1,1,1,0,1,1,1
227,17,0,10.0,0,1,0,0,1,1,1
228,19,0,1.0,0,1,1,1,1,1,1
229,24,0,1.0,0,1,1,0,1,1,3
230,31,24999.5,3.0,0,0,1,1,1,1,3
231,22,14999.5,8.0,0,0,1,0,1,1,1
232,24,14999.5,3.0,0,0,1,1,1,1,3
233,31,24999.5,2.0,0,0,1,1,1,1,1
234,22,24999.5,3.0,0,1,0,1,1,1,1
235,20,0,0.0,0,1,1,1,1,1,1
236,27,5000.5,1.0,1,1,1,1,2,1,3
237,24,5000.5,6.0,0,1,0,0,1,1,3
238,26,0,0.0,0,1,1,1,1,1,1
239,22,0,0.0,0,1,1,1,1,1,1
240,26,34999.5,4.0,0,1,1,1,1,1,3
241,24,34999.5,0.0,0,0,1,0,1,1,1
242,18,0,20.0,0,1,1,0,1,1,1
243,18,0,6.0,0,0,1,1,1,1,1
244,22,14999.5,5.0,1,1,1,0,1,1,1
245,22,62499.5,15.0,0,1,0,0,1,1,1
246,19,0,0.0,1,0,1,0,1,1,1
247,18,0,0.0,0,1,1,1,1,1,1
248,21,0,10.0,0,1,0,1,1,1,1
249,31,14999.5,3.0,0,1,1,1,1,1,3
250,25,14999.5,28.0,0,1,1,0,1,2,2
251,23,14999.5,4.0,0,0,0,1,1,1,1
252,27,5000.5,10.0,0,1,1,1,1,1,1
253,19,0,0.0,0,1,1,1,1,1,4
254,20,14999.5,2.0,0,0,1,1,1,1,2
255,20,0,0.0,0,1,0,0,1,2,2
256,26,0,3.0,0,1,0,1,1,1,3
257,31,34999.5,100.0,0,0,1,0,1,1,1
258,18,0,3.0,1,1,1,1,1,1,1
259,22,5000.5,4.0,1,1,1,1,1,1,3
260,28,34999.5,10.0,0,0,1,1,1,2,3
261,24,0,1.0,0,1,1,1,1,1,3
262,26,112499.5,0.0,0,0,1,1,1,1,4
263,23,0,5.0,1,1,1,1,1,1,1
264,27,62499.5,4.0,1,1,1,1,2,1,1
265,33,5000.5,0.0,0,1,1,0,1,1,1
266,26,0,0.0,0,1,1,1,2,1,1
267,30,24999.5,3.0,0,0,1,1,1,1,1
268,24,0,2.0,0,1,1,1,1,1,4
269,44,137499.5,12.0,0,0,0,0,1,1,1
270,27,34999.5,7.0,0,1,1,0,1,1,3
271,27,62499.5,5.0,0,1,0,1,1,1,4
272,32,62499.5,10.0,0,0,1,1,1,1,1
273,27,34999.5,0.0,0,0,0,0,1,1,1
274,20,0,0.0,0,1,1,0,1,1,1
275,18,0,5.0,0,1,0,0,1,1,1
276,22,5000.5,1.0,1,1,1,1,1,1,1
277,26,0,0.0,0,1,0,0,1,1,1
278,22,0,25.0,1,1,1,1,1,1,1
279,23,24999.5,1.0,0,1,1,1,1,1,1
280,41,0,1.0,1,0,1,1,2,2,3
281,28,0,4.0,0,0,1,1,1,1,1
282,29,62499.5,8.0,0,1,1,1,1,1,3
283,19,5000.5,2.0,0,1,1,1,2,1,1
284,21,44999.5,0.0,1,1,1,1,1,1,3
285,19,0,20.0,0,1,0,0,1,1,1
286,19,0,1.0,0,1,1,1,1,1,2
287,20,0,7.0,0,0,1,1,1,1,1
288,22,0,0.0,0,1,0,1,1,1,1
289,20,5000.5,0.0,0,1,1,1,1,1,3
290,25,14999.5,7.0,0,0,0,1,1,2,1
291,30,14999.5,4.0,0,1,1,1,1,1,3
292,30,62499.5,6.0,0,1,0,0,1,1,1
293,22,0,0.0,0,1,1,1,1,1,1
294,26,44999.5,3.0,0,1,0,0,1,1,1
295,36,44999.5,0.0,0,1,1,1,1,1,4
296,23,34999.5,8.0,0,0,0,1,1,1,1
297,16,5000.5,0.0,1,1,1,1,1,2,2
298,25,14999.5,20.0,0,1,1,0,2,1,1
299,37,14999.5,1.0,0,1,0,0,2,1,1
300,24,0,2.0,0,1,1,1,1,1,2
301,21,0,0.0,0,1,1,0,1,1,3
302,18,5000.5,4.0,0,0,0,1,1,1,3
303,23,0,20.0,0,0,0,0,1,1,1
304,29,24999.5,0.0,0,0,1,1,1,1,3
305,18,5000.5,12.0,0,1,1,0,1,1,1
306,18,0,20.0,0,1,0,1,1,1,1
307,21,0,2.0,0,1,1,1,1,1,2
308,18,0,8.0,0,1,0,0,1,1,1
309,20,44999.5,10.0,0,1,1,0,1,1,1
310,39,34999.5,10.0,1,0,0,0,1,1,1
311,30,87499.5,15.0,0,0,0,0,1,1,1
312,19,0,1.0,0,1,1,1,1,2,3
313,19,0,20.0,0,1,1,0,1,1,1
314,26,62499.5,60.0,0,0,0,0,1,1,1
315,22,62499.5,600.0,0,1,0,0,1,1,4
316,23,24999.5,0.0,0,1,1,1,1,1,2
317,18,0,0.0,1,1,1,1,1,1,1
318,15,0,5.0,0,1,1,0,1,1,3
319,22,5000.5,1.0,1,1,1,1,1,1,2
320,26,14999.5,1.0,0,1,1,1,1,1,3
